run_id,group_id,dataset,model,imr,seed_alias,acc_pct,wf1_pct,recorded_best_epoch,recorded_dev_wf1_pct,source_status,process_return_code,nonzero_exit,log_available,log_metrics_match,evidence_id
G07-seed3,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed3,63.52433764633395,63.39431758976548,59,64.37919919850563,ok,3221226505,True,True,True,G07-seed3-E
G07-seed4,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed4,64.01725200246457,63.74845667518756,40,67.04653717338448,ok,3221226505,True,True,True,G07-seed4-E
G07-seed5,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed5,63.83240911891559,64.04290615948695,43,62.81530595442509,ok,3221226505,True,True,True,G07-seed5-E
G08-seed1,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed1,63.52433764633395,63.34504397008971,46,53.623563000939534,ok,3221226505,True,True,True,G08-seed1-E
G08-seed2,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed2,62.230437461491064,61.98950027767432,73,59.190023155979446,ok,3221226505,True,True,True,G08-seed2-E
G08-seed3,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed3,62.72335181762168,62.6247577899922,51,63.61529366843999,ok,3221226505,True,True,True,G08-seed3-E
G08-seed4,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed4,63.709180529882936,62.89025481617221,35,60.70205328418711,ok,3221226505,True,True,True,G08-seed4-E
G08-seed5,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed5,63.21626617375231,62.80745726556749,47,65.55019075072013,ok,3221226505,True,True,True,G08-seed5-E
G09-seed1,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed1,65.68083795440542,65.4748540115977,41,58.855874772407425,ok,3221226505,True,True,True,G09-seed1-E
G09-seed2,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed2,64.87985212569316,64.99125704936449,55,64.18292726552279,ok,3221226505,True,True,True,G09-seed2-E
G09-seed3,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed3,66.11213801601971,65.88218947206008,36,64.75740262966583,ok,3221226505,True,True,True,G09-seed3-E
