cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T2-G07-acc-mean,G07,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",Acc,mean,64.65,64.64571780653111,64.65,True,G07-seed1;G07-seed2;G07-seed3;G07-seed4;G07-seed5
T2-G07-acc-std,G07,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",Acc,std,1.33,1.331068422530257,1.33,True,G07-seed1;G07-seed2;G07-seed3;G07-seed4;G07-seed5
T2-G07-wf1-mean,G07,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",w-F1,mean,64.5,64.50419018926823,64.5,True,G07-seed1;G07-seed2;G07-seed3;G07-seed4;G07-seed5
T2-G07-wf1-std,G07,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",w-F1,std,1.24,1.241942215495473,1.24,True,G07-seed1;G07-seed2;G07-seed3;G07-seed4;G07-seed5
T2-G08-acc-mean,G08,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",Acc,mean,63.08,63.080714725816385,63.08,True,G08-seed1;G08-seed2;G08-seed3;G08-seed4;G08-seed5
T2-G08-acc-std,G08,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",Acc,std,0.6,0.6043228507819722,0.6,True,G08-seed1;G08-seed2;G08-seed3;G08-seed4;G08-seed5
T2-G08-wf1-mean,G08,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",w-F1,mean,62.73,62.73140282389919,62.73,True,G08-seed1;G08-seed2;G08-seed3;G08-seed4;G08-seed5
T2-G08-wf1-std,G08,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",w-F1,std,0.49,0.49228199266187234,0.49,True,G08-seed1;G08-seed2;G08-seed3;G08-seed4;G08-seed5
T2-G09-acc-mean,G09,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",Acc,mean,65.41,65.40973505853358,65.41,True,G09-seed1;G09-seed2;G09-seed3;G09-seed4;G09-seed5
T2-G09-acc-std,G09,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",Acc,std,0.52,0.5166056393408369,0.52,True,G09-seed1;G09-seed2;G09-seed3;G09-seed4;G09-seed5
T2-G09-wf1-mean,G09,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",w-F1,mean,65.25,65.25047360238618,65.25,True,G09-seed1;G09-seed2;G09-seed3;G09-seed4;G09-seed5
T2-G09-wf1-std,G09,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",w-F1,std,0.5,0.49744601902902796,0.5,True,G09-seed1;G09-seed2;G09-seed3;G09-seed4;G09-seed5
T2-G10-acc-mean,G10,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",Acc,mean,62.98,62.982131854590264,62.98,True,G10-seed1;G10-seed2;G10-seed3;G10-seed4;G10-seed5
T2-G10-acc-std,G10,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",Acc,std,0.78,0.7847058767681019,0.78,True,G10-seed1;G10-seed2;G10-seed3;G10-seed4;G10-seed5
T2-G10-wf1-mean,G10,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",w-F1,mean,62.68,62.6822622422187,62.68,True,G10-seed1;G10-seed2;G10-seed3;G10-seed4;G10-seed5
T2-G10-wf1-std,G10,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",w-F1,std,0.88,0.879586406923455,0.88,True,G10-seed1;G10-seed2;G10-seed3;G10-seed4;G10-seed5
T2-G11-acc-mean,G11,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",Acc,mean,64.05,64.05422057917437,64.05,True,G11-seed1;G11-seed2;G11-seed3;G11-seed4;G11-seed5
T2-G11-acc-std,G11,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",Acc,std,1.61,1.6117762431206297,1.61,True,G11-seed1;G11-seed2;G11-seed3;G11-seed4;G11-seed5
T2-G11-wf1-mean,G11,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",w-F1,mean,63.89,63.885268508690785,63.89,True,G11-seed1;G11-seed2;G11-seed3;G11-seed4;G11-seed5
T2-G11-wf1-std,G11,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",w-F1,std,1.51,1.5065710868438624,1.51,True,G11-seed1;G11-seed2;G11-seed3;G11-seed4;G11-seed5
T2-G12-acc-mean,G12,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",Acc,mean,63.13,63.13000616142945,63.13,True,G12-seed1;G12-seed2;G12-seed3;G12-seed4;G12-seed5
T2-G12-acc-std,G12,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",Acc,std,0.81,0.8111118784356879,0.81,True,G12-seed1;G12-seed2;G12-seed3;G12-seed4;G12-seed5
T2-G12-wf1-mean,G12,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",w-F1,mean,62.8,62.804348350723615,62.8,True,G12-seed1;G12-seed2;G12-seed3;G12-seed4;G12-seed5
T2-G12-wf1-std,G12,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",w-F1,std,0.74,0.7389014756574646,0.74,True,G12-seed1;G12-seed2;G12-seed3;G12-seed4;G12-seed5
T2-G13-acc-mean,G13,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",Acc,mean,67.43,67.43068391866913,67.43,True,G13-seed1;G13-seed2;G13-seed3;G13-seed4;G13-seed5
T2-G13-acc-std,G13,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",Acc,std,0.71,0.7127045590102898,0.71,True,G13-seed1;G13-seed2;G13-seed3;G13-seed4;G13-seed5
T2-G13-wf1-mean,G13,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",w-F1,mean,67.02,67.02342583381117,67.02,True,G13-seed1;G13-seed2;G13-seed3;G13-seed4;G13-seed5
T2-G13-wf1-std,G13,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",w-F1,std,0.56,0.5645608406454424,0.56,True,G13-seed1;G13-seed2;G13-seed3;G13-seed4;G13-seed5
T2-G14-acc-mean,G14,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",Acc,mean,65.0,65.00308071472581,65.0,True,G14-seed1;G14-seed2;G14-seed3;G14-seed4;G14-seed5
T2-G14-acc-std,G14,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",Acc,std,0.91,0.9065889691658764,0.91,True,G14-seed1;G14-seed2;G14-seed3;G14-seed4;G14-seed5
T2-G14-wf1-mean,G14,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",w-F1,mean,64.41,64.41415439187102,64.41,True,G14-seed1;G14-seed2;G14-seed3;G14-seed4;G14-seed5
T2-G14-wf1-std,G14,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",w-F1,std,1.01,1.0144428222289572,1.01,True,G14-seed1;G14-seed2;G14-seed3;G14-seed4;G14-seed5
T2-G15-acc-mean,G15,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",Acc,mean,68.43,68.42883548983365,68.43,True,G15-seed1;G15-seed2;G15-seed3;G15-seed4;G15-seed5
T2-G15-acc-std,G15,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",Acc,std,0.71,0.712704559010289,0.71,True,G15-seed1;G15-seed2;G15-seed3;G15-seed4;G15-seed5
T2-G15-wf1-mean,G15,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",w-F1,mean,68.12,68.11641553819092,68.12,True,G15-seed1;G15-seed2;G15-seed3;G15-seed4;G15-seed5
T2-G15-wf1-std,G15,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",w-F1,std,0.81,0.8149770958742601,0.81,True,G15-seed1;G15-seed2;G15-seed3;G15-seed4;G15-seed5
T2-G16-acc-mean,G16,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",Acc,mean,64.66,64.65804066543438,64.66,True,G16-seed1;G16-seed2;G16-seed3;G16-seed4;G16-seed5
