cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T3-G31-acc-std,G31,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.5,0.7)",Acc,std,0.22,0.2187628719246206,0.22,True,G31-seed1;G31-seed2;G31-seed3;G31-seed4;G31-seed5
T3-G31-wf1-mean,G31,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.5,0.7)",w-F1,mean,82.72,82.71935640624854,82.72,True,G31-seed1;G31-seed2;G31-seed3;G31-seed4;G31-seed5
T3-G31-wf1-std,G31,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.5,0.7)",w-F1,std,0.17,0.17219752315036216,0.17,True,G31-seed1;G31-seed2;G31-seed3;G31-seed4;G31-seed5
T3-G32-acc-mean,G32,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.7,0.5)",Acc,mean,79.82,79.82388552559163,79.82,True,G32-seed1;G32-seed2;G32-seed3;G32-seed4;G32-seed5
T3-G32-acc-std,G32,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.7,0.5)",Acc,std,0.21,0.20811965218700026,0.21,True,G32-seed1;G32-seed2;G32-seed3;G32-seed4;G32-seed5
T3-G32-wf1-mean,G32,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.7,0.5)",w-F1,mean,79.49,79.49151622559323,79.49,True,G32-seed1;G32-seed2;G32-seed3;G32-seed4;G32-seed5
T3-G32-wf1-std,G32,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.7,0.5)",w-F1,std,0.2,0.1993503679726689,0.2,True,G32-seed1;G32-seed2;G32-seed3;G32-seed4;G32-seed5
T3-G33-acc-mean,G33,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.3,0.7)",Acc,mean,84.81,84.81012658227849,84.81,True,G33-seed1;G33-seed2;G33-seed3;G33-seed4;G33-seed5
T3-G33-acc-std,G33,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.3,0.7)",Acc,std,0.07,0.07015712044018453,0.07,True,G33-seed1;G33-seed2;G33-seed3;G33-seed4;G33-seed5
T3-G33-wf1-mean,G33,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.3,0.7)",w-F1,mean,84.72,84.7246704722114,84.72,True,G33-seed1;G33-seed2;G33-seed3;G33-seed4;G33-seed5
T3-G33-wf1-std,G33,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.3,0.7)",w-F1,std,0.14,0.1388370634336772,0.14,True,G33-seed1;G33-seed2;G33-seed3;G33-seed4;G33-seed5
T3-G34-acc-mean,G34,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.7,0.3)",Acc,mean,79.82,79.82388552559163,79.82,True,G34-seed1;G34-seed2;G34-seed3;G34-seed4;G34-seed5
T3-G34-acc-std,G34,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.7,0.3)",Acc,std,0.23,0.2330100509633089,0.23,True,G34-seed1;G34-seed2;G34-seed3;G34-seed4;G34-seed5
T3-G34-wf1-mean,G34,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.7,0.3)",w-F1,mean,79.55,79.5530556291068,79.55,True,G34-seed1;G34-seed2;G34-seed3;G34-seed4;G34-seed5
T3-G34-wf1-std,G34,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.7,0.3)",w-F1,std,0.05,0.05104272406831218,0.05,True,G34-seed1;G34-seed2;G34-seed3;G34-seed4;G34-seed5
T3-G35-acc-mean,G35,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.3,0.5)",Acc,mean,84.96,84.9642267473858,84.96,True,G35-seed1;G35-seed2;G35-seed3;G35-seed4;G35-seed5
T3-G35-acc-std,G35,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.3,0.5)",Acc,std,0.29,0.2863711775618698,0.29,True,G35-seed1;G35-seed2;G35-seed3;G35-seed4;G35-seed5
T3-G35-wf1-mean,G35,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.3,0.5)",w-F1,mean,84.85,84.8499016213431,84.85,True,G35-seed1;G35-seed2;G35-seed3;G35-seed4;G35-seed5
T3-G35-wf1-std,G35,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.3,0.5)",w-F1,std,0.27,0.27073831749827976,0.27,True,G35-seed1;G35-seed2;G35-seed3;G35-seed4;G35-seed5
T3-G36-acc-mean,G36,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.5,0.3)",Acc,mean,82.86,82.85635663181068,82.86,True,G36-seed1;G36-seed2;G36-seed3;G36-seed4;G36-seed5
T3-G36-acc-std,G36,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.5,0.3)",Acc,std,0.67,0.6658532544063183,0.67,True,G36-seed1;G36-seed2;G36-seed3;G36-seed4;G36-seed5
T3-G36-wf1-mean,G36,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.5,0.3)",w-F1,mean,82.68,82.67978983653053,82.68,True,G36-seed1;G36-seed2;G36-seed3;G36-seed4;G36-seed5
T3-G36-wf1-std,G36,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.5,0.3)",w-F1,std,0.6,0.59948527356141,0.6,True,G36-seed1;G36-seed2;G36-seed3;G36-seed4;G36-seed5
