group_id,table,metric,comparison,reference_count,reported_delta,recomputed_from_printed_means,matches_2dp,recomputed_from_unrounded_amber,matches_unrounded_amber_2dp,scope
G12,2,Acc,Group 1 mean,8,9.08,9.0775,True,9.077506161429447,True,arithmetic_only_baselines_not_run_verified
G12,2,w-F1,original,1,1.95,1.9499999999999957,True,1.9543483507236132,True,arithmetic_only_baselines_not_run_verified
G12,2,w-F1,Group 1 mean,8,9.98,9.974999999999994,False,9.979348350723612,True,arithmetic_only_baselines_not_run_verified
G13,2,Acc,original,1,4.09,4.090000000000003,True,4.090683918669129,True,arithmetic_only_baselines_not_run_verified
G13,2,Acc,Group 1 mean,8,12.12,12.121250000000003,True,12.121933918669129,True,arithmetic_only_baselines_not_run_verified
G13,2,w-F1,original,1,4.02,4.019999999999996,True,4.023425833811174,True,arithmetic_only_baselines_not_run_verified
G13,2,w-F1,Group 1 mean,8,12.88,12.876249999999999,True,12.879675833811177,True,arithmetic_only_baselines_not_run_verified
G14,2,Acc,original,1,4.62,4.619999999999997,True,4.623080714725809,True,arithmetic_only_baselines_not_run_verified
G14,2,Acc,Group 1 mean,8,12.25,12.245000000000005,True,12.248080714725816,True,arithmetic_only_baselines_not_run_verified
G14,2,w-F1,original,1,4.4,4.399999999999999,True,4.404154391871025,True,arithmetic_only_baselines_not_run_verified
G14,2,w-F1,Group 1 mean,8,12.8,12.7975,True,12.801654391871025,True,arithmetic_only_baselines_not_run_verified
G15,2,Acc,original,1,1.09,1.0900000000000034,True,1.0888354898336416,True,arithmetic_only_baselines_not_run_verified
G15,2,Acc,Group 1 mean,8,11.01,11.006250000000009,True,11.005085489833647,True,arithmetic_only_baselines_not_run_verified
G15,2,w-F1,original,1,0.72,0.7199999999999989,True,0.7164155381909154,True,arithmetic_only_baselines_not_run_verified
G15,2,w-F1,Group 1 mean,8,12.05,12.052500000000002,True,12.048915538190919,True,arithmetic_only_baselines_not_run_verified
G16,2,Acc,original,1,6.74,6.739999999999995,True,6.738040665434383,True,arithmetic_only_baselines_not_run_verified
G16,2,Acc,Group 1 mean,8,12.08,12.081249999999997,True,12.079290665434385,True,arithmetic_only_baselines_not_run_verified
G16,2,w-F1,original,1,7.81,7.810000000000002,True,7.81340241397254,True,arithmetic_only_baselines_not_run_verified
G16,2,w-F1,Group 1 mean,8,12.4,12.39875,True,12.402152413972537,True,arithmetic_only_baselines_not_run_verified
G17,2,Acc,original,1,1.17,1.1700000000000017,True,1.1724953789279056,True,arithmetic_only_baselines_not_run_verified
G17,2,Acc,Group 1 mean,8,11.35,11.347500000000004,True,11.349995378927908,True,arithmetic_only_baselines_not_run_verified
G17,2,w-F1,original,1,0.74,0.7399999999999949,True,0.7360843460496511,True,arithmetic_only_baselines_not_run_verified
G17,2,w-F1,Group 1 mean,8,12.05,12.058749999999996,False,12.054834346049653,True,arithmetic_only_baselines_not_run_verified
G18,2,Acc,original,1,2.84,2.8399999999999963,True,2.8441466420209522,True,arithmetic_only_baselines_not_run_verified
G18,2,Acc,Group 1 mean,8,12.44,12.437499999999993,True,12.441646642020949,True,arithmetic_only_baselines_not_run_verified
G18,2,w-F1,original,1,1.94,1.9399999999999977,True,1.940851250432999,True,arithmetic_only_baselines_not_run_verified
G18,2,w-F1,Group 1 mean,8,13.12,13.114999999999995,False,13.115851250432996,True,arithmetic_only_baselines_not_run_verified
G19,3,Acc,original,1,0.34,0.3399999999999892,True,0.33664832140890155,True,arithmetic_only_baselines_not_run_verified
G19,3,Acc,Group 1 mean,7,2.6,2.598571428571418,True,2.5952197499803304,True,arithmetic_only_baselines_not_run_verified
G19,3,w-F1,original,1,0.53,0.5300000000000011,True,0.5264953155686243,True,arithmetic_only_baselines_not_run_verified
G19,3,w-F1,Group 1 mean,7,2.85,2.848571428571418,True,2.8450667441400412,True,arithmetic_only_baselines_not_run_verified
G20,3,Acc,original,1,1.36,1.3599999999999994,True,1.3627352779306534,True,arithmetic_only_baselines_not_run_verified
G20,3,Acc,Group 1 mean,7,4.21,4.210000000000008,True,4.212735277930662,True,arithmetic_only_baselines_not_run_verified
G20,3,w-F1,original,1,1.25,1.25,True,1.2549069636712886,True,arithmetic_only_baselines_not_run_verified
G20,3,w-F1,Group 1 mean,7,5.08,5.075714285714284,True,5.0806212493855725,True,arithmetic_only_baselines_not_run_verified
G21,3,Acc,original,1,1.54,1.5400000000000063,True,1.5372151898734217,True,arithmetic_only_baselines_not_run_verified
G21,3,Acc,Group 1 mean,7,2.85,2.8514285714285847,True,2.848643761302,True,arithmetic_only_baselines_not_run_verified
